Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
1B;NA;CE2;Cherry;G7;23/8/2017;09/06/2017;L10;C7;Cherry;386;LO;2;LO,
1B;NA;FR2;Strawberry;G7;23/8/2017;09/06/2017;L1;C8;Cherry;84;AA;22;LO,
1B;NA;FR2;Strawberry;G7;23/8/2017;09/06/2017;L2;C8;Cranberry;185;AA;10;LO,
1B;NA;FR2;Strawberry;G7;23/8/2017;09/06/2017;L3;C8;Strawberry;164;AA;43;LO,
1B;NA;FR2;Strawberry;G7;23/8/2017;09/06/2017;L4;C8;Cranberry;250;AA;12;LO,
1B;NA;FR2;Strawberry;G7;23/8/2017;09/06/2017;L5;C8;Cherry;156;AA;45;LO,
1B;NA;FR2;Strawberry;G7;23/8/2017;09/06/2017;L6;C8;Strawberry;120;LO;21;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L1;C9;Strawberry;112;AA;34;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L2;C9;Cranberry;347;AA;4;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L3;C9;Cherry;172;AA;5;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L4;C9;Cranberry;168;AA;34;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L5;C9;Strawberry;77;AA;17;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L6;C9;Cherry;211;LO;4;LO,
1B;NA;CR3;Cranberry;G7;23/8/2017;09/06/2017;L7;C9;Strawberry;32;LO;22;LO,
1C;NA;CE1;Cherry;G7;24/8/2017;09/07/2017;L1;C1;Cranberry;316;AA;1;LO,
1C;NA;CE1;Cherry;G7;24/8/2017;09/07/2017;L2;C1;Strawberry;104;AA;21;LO,
1C;NA;CE1;Cherry;G7;24/8/2017;09/07/2017;L3;C1;Cherry;168;AA;31;LO,
1C;NA;CE1;Cherry;G7;24/8/2017;09/07/2017;L4;C1;Cranberry;109;AA;13;LO,
1C;NA;CE1;Cherry;G7;24/8/2017;09/07/2017;L5;C1;Strawberry;301;AA;39;LO,
1C;NA;CE1;Cherry;G7;24/8/2017;09/07/2017;L6;C1;Cherry;324;AA;3;LO,
1C;NA;FI1;Fig;G7;24/8/2017;09/07/2017;L8;C1;Fig;198;AA;44;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L10;C1;Cherry;213;AA;63;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L1;C10;Strawberry;241;AA;34;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L2;C10;Cranberry;116;AA;39;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L3;C10;Cherry;202;AA;20;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L4;C10;Strawberry;33;AA;8;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L5;C10;Cranberry;242;AA;23;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L6;C10;Cherry;154;AA;9;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L7;C10;Strawberry;251;AA;76;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L8;C10;Cherry;261;AA;9;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L1;C2;Strawberry;227;AA;22;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L2;C2;Cranberry;209;AA;6;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L3;C2;Cherry;129;AA;62;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L4;C2;Strawberry;176;AA;44;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L5;C2;Cranberry;361;AA;6;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L6;C2;Cherry;262;AA;59;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L7;C2;Strawberry;173;AA;68;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L8;C2;Cranberry;254;AA;61;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L9;C2;Cherry;336;AA;8;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L10;C2;Strawberry;224;AA;37;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L1;C3;Cranberry;132;AA;13;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L2;C3;Cherry;87;AA;37;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L3;C3;Strawberry;131;AA;50;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L4;C3;Cranberry;155;AA;36;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L5;C3;Cherry;142;AA;30;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L6;C3;Strawberry;188;AA;48;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L7;C3;Cranberry;153;AA;46;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L8;C3;Cherry;322;AA;5;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L9;C3;Strawberry;280;AA;42;LO,
1C;NA;FR1;Strawberry;G7;24/8/2017;09/07/2017;L10;C3;Cranberry;123;AA;26;LO,
1C;NA;CR1;Cranberry;G7;24/8/2017;09/07/2017;L1;C4;Cherry;114;AA;47;LO,
1C;NA;CR1;Cranberry;G7;24/8/2017;09/07/2017;L2;C4;Cranberry;186;AA;23;LO,
1C;NA;CE2;Cherry;G7;24/8/2017;09/07/2017;L1;C5;Strawberry;86;AA;39;LO,
1C;NA;CE2;Cherry;G7;24/8/2017;09/07/2017;L2;C5;Cherry;216;AA;15;LO,
1C;NA;CE2;Cherry;G7;24/8/2017;09/07/2017;L3;C5;Cranberry;261;AA;15;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L1;C6;Cherry;154;AA;23;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L2;C6;Cranberry;232;AA;19;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L3;C6;Strawberry;109;AA;20;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L4;C6;Cherry;136;AA;35;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L5;C6;Cranberry;182;AA;9;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L6;C6;Strawberry;223;AA;25;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L7;C6;Cherry;222;LO;44;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L8;C6;Cranberry;75;AA;31;LO,
1C;NA;CE3;Cherry;G7;24/8/2017;09/07/2017;L9;C6;Strawberry;132;AA;44;LO,
1C;NA;CR2;Cranberry;G7;24/8/2017;09/07/2017;L1;C7;Cherry;249;AA;21;LO,
1C;NA;CR2;Cranberry;G7;24/8/2017;09/07/2017;L2;C7;Strawberry;221;AA;49;LO,
1C;NA;CR2;Cranberry;G7;24/8/2017;09/07/2017;L3;C7;Cranberry;162;AA;11;LO,
1C;NA;FR2;Strawberry;G7;24/8/2017;09/07/2017;L1;C8;Cranberry;96;AA;29;LO,
1C;NA;FR2;Strawberry;G7;24/8/2017;09/07/2017;L2;C8;Cherry;185;AA;47;LO,
1C;NA;FR2;Strawberry;G7;24/8/2017;09/07/2017;L3;C8;Strawberry;204;AA;48;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L1;C9;Cranberry;95;AA;32;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L2;C9;Strawberry;163;AA;36;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L3;C9;Cherry;201;AA;12;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L4;C9;Cranberry;266;AA;11;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L5;C9;Strawberry;308;AA;19;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L6;C9;Cranberry;241;AA;25;LO,
1C;NA;CR3;Cranberry;G7;24/8/2017;09/07/2017;L7;C9;Cherry;201;AA;10;LO,
1D;NA;CE1;Cherry;G7;25/8/2017;09/08/2017;L1;C1;Cranberry;208;AA;8;LO,
1D;NA;CE1;Cherry;G7;25/8/2017;09/08/2017;L2;C1;Strawberry;195;AA;38;LO,
1D;NA;CE1;Cherry;G7;25/8/2017;09/08/2017;L3;C1;Cherry;185;AA;7;LO,
1D;NA;CE1;Cherry;G7;25/8/2017;09/08/2017;L4;C1;Cranberry;192;AA;31;LO,
1D;NA;CE1;Cherry;G7;25/8/2017;09/08/2017;L5;C1;Strawberry;223;LO;24;LO,
1D;NA;CE1;Cherry;G7;25/8/2017;09/08/2017;L6;C1;Cherry;166;LO;45;LO,
1D;NA;RA3;Grape;G7;25/8/2017;09/08/2017;L8;C1;Grape;209;LO;3;LO,
1D;NA;FI1;Fig;G7;25/8/2017;09/08/2017;L9;C1;Fig;298;LO;28;LO,
1D;NA;TO3;Tomato;G7;25/8/2017;09/08/2017;L10;C1;Tomato;111;LO;3;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L1;C10;Cranberry;229;AA;38;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L2;C10;Strawberry;156;AA;44;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L3;C10;Cherry;276;AA;21;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L4;C10;Cranberry;202;AA;54;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L5;C10;Strawberry;156;LO;30;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L6;C10;Cherry;177;LO;13;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L7;C10;Cranberry;178;LO;46;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L8;C10;Strawberry;159;LO;37;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L9;C10;Cherry;255;LO;5;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L10;C10;Cranberry;232;LO;16;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L1;C2;Strawberry;106;AA;35;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L2;C2;Cranberry;220;AA;47;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L3;C2;Cherry;178;AA;85;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L4;C2;Strawberry;199;AA;80;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L5;C2;Cranberry;148;LO;45;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L6;C2;Cherry;230;LO;31;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L7;C2;Strawberry;272;LO;44;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L8;C2;Cranberry;147;LO;78;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L1;C3;Cranberry;82;AA;44;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L2;C3;Cherry;226;AA;5;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L3;C3;Strawberry;193;AA;60;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L4;C3;Cranberry;290;AA;16;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L5;C3;Cherry;143;LO;64;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L6;C3;Strawberry;177;LO;52;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L7;C3;Cranberry;100;LO;49;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L8;C3;Cherry;189;LO;46;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L1;C4;Strawberry;130;AA;42;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L2;C4;Cherry;173;AA;60;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L3;C4;Cranberry;237;AA;61;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L4;C4;Strawberry;254;AA;34;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L5;C4;Cherry;216;LO;35;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L6;C4;Cranberry;214;LO;45;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L7;C4;Strawberry;178;LO;59;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L8;C4;Strawberry;201;LO;61;LO,
1D;NA;FR1;Strawberry;G7;25/8/2017;09/08/2017;L9;C4;Cherry;280;LO;29;LO,
1D;NA;CR1;Cranberry;G7;25/8/2017;09/08/2017;L1;C5;Cranberry;141;AA;55;LO,
1D;NA;CR1;Cranberry;G7;25/8/2017;09/08/2017;L2;C5;Strawberry;167;AA;12;LO,
1D;NA;CE2;Cherry;G7;25/8/2017;09/08/2017;L1;C6;Cherry;168;AA;37;LO,
1D;NA;CE2;Cherry;G7;25/8/2017;09/08/2017;L2;C6;Cranberry;264;AA;26;LO,
1D;NA;CE2;Cherry;G7;25/8/2017;09/08/2017;L3;C6;Strawberry;198;AA;33;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L10;C6;Cherry;272;LO;24;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L1;C7;Strawberry;143;AA;52;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L2;C7;Cherry;87;AA;31;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L3;C7;Cranberry;167;AA;32;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L4;C7;Strawberry;275;AA;33;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L5;C7;Cherry;211;LO;48;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L6;C7;Cranberry;173;LO;36;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L7;C7;Strawberry;175;LO;33;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L8;C7;Cherry;186;LO;39;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L9;C7;Cranberry;183;LO;35;LO,
1D;NA;CE3;Cherry;G7;25/8/2017;09/08/2017;L10;C7;Strawberry;113;LO;22;LO,
1D;NA;CR2;Cranberry;G7;25/8/2017;09/08/2017;L1;C8;Cranberry;15;AA;10;LO,
1D;NA;CR2;Cranberry;G7;25/8/2017;09/08/2017;L2;C8;Strawberry;67;AA;20;LO,
1D;NA;CR2;Cranberry;G7;25/8/2017;09/08/2017;L3;C8;Cherry;89;AA;34;LO,
1D;NA;CR2;Cranberry;G7;25/8/2017;09/08/2017;L4;C8;Cranberry;196;AA;58;LO,
1D;NA;CR2;Cranberry;G7;25/8/2017;09/08/2017;L5;C8;Strawberry;148;LO;37;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L6;C8;Cherry;120;LO;35;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L7;C8;Strawberry;104;LO;16;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L8;C8;Cherry;121;LO;9;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L9;C8;Strawberry;249;LO;26;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L10;C8;Cherry;145;LO;7;LO,
1D;NA;FR2;Strawberry;G7;25/8/2017;09/08/2017;L1;C9;Strawberry;22;AA;35;LO,
1D;NA;FR2;Strawberry;G7;25/8/2017;09/08/2017;L2;C9;Cranberry;295;AA;7;LO,
1D;NA;FR2;Strawberry;G7;25/8/2017;09/08/2017;L3;C9;Cherry;219;AA;20;LO,
1D;NA;FR2;Strawberry;G7;25/8/2017;09/08/2017;L4;C9;Strawberry;172;AA;28;LO,
1D;NA;FR2;Strawberry;G7;25/8/2017;09/08/2017;L5;C9;Cranberry;226;LO;52;LO,
1D;NA;FR2;Strawberry;G7;25/8/2017;09/08/2017;L6;C9;Cherry;123;LO;54;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L8;C9;Cranberry;160;LO;43;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L9;C9;Strawberry;207;LO;41;LO,
1D;NA;CR3;Cranberry;G7;25/8/2017;09/08/2017;L10;C9;Cranberry;234;LO;60;LO,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L1;C3;Strawberry;37;LO;9;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L2;C3;Strawberry;128;LO;57;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L3;C3;Strawberry;55;LO;20;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L4;C3;Strawberry;61;LO;14;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L5;C3;Strawberry;103;LO;27;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L6;C3;Strawberry;110;LO;39;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L7;C3;Strawberry;87;LO;27;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L8;C3;Strawberry;67;LO;23;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L9;C3;Strawberry;120;LO;41;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L10;C3;Strawberry;136;LO;39;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L1;C4;Strawberry;68;LO;13;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L2;C4;Strawberry;46;LO;10;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L1;C5;Cherry;86;LO;42;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L2;C5;Cherry;72;LO;30;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L3;C5;Cherry;62;LO;40;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L4;C5;Cherry;44;LO;23;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L5;C5;Cherry;118;LO;69;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L6;C5;Cherry;98;LO;49;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L7;C5;Cherry;83;LO;45;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L8;C5;Cherry;59;LO;27;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L9;C5;Cherry;47;LO;23;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L10;C5;Cherry;53;LO;30;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L1;C6;Cranberry;54;LO;28;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L2;C6;Cranberry;79;LO;43;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L3;C6;Cranberry;86;LO;34;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L4;C6;Cranberry;79;LO;51;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L5;C6;Cranberry;63;LO;49;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L6;C6;Cranberry;59;LO;37;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L7;C6;Cranberry;85;LO;53;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L8;C6;Cranberry;54;LO;27;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L9;C6;Cranberry;164;LO;40;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L10;C6;Cranberry;90;LO;27;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L1;C7;Cranberry;25;LO;23;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L2;C7;Cranberry;57;LO;41;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L3;C7;Cranberry;91;LO;48;AA,
1A;I;FR1;Strawberry;G8;12/9/2017;26/9/2017;L4;C7;Cranberry;NA;LO;13;AA,
1A;II;CE1;Cherry;G8;12/9/2017;26/9/2017;L1;C1;Strawberry;37;LO;18;AA,
1A;II;CE1;Cherry;G8;12/9/2017;26/9/2017;L2;C1;Strawberry;100;LO;36;AA,
1A;II;CE1;Cherry;G8;12/9/2017;26/9/2017;L3;C1;Strawberry;117;LO;24;AA,
1A;II;CE1;Cherry;G8;12/9/2017;26/9/2017;L4;C1;Cherry;69;LO;27;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L1;C2;Strawberry;85;LO;25;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L2;C2;Strawberry;56;LO;21;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L3;C2;Strawberry;111;LO;35;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L4;C2;Strawberry;44;LO;14;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L5;C2;Strawberry;103;LO;33;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L6;C2;Strawberry;6;LO;2;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L1;C3;Cherry;40;LO;15;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L2;C3;Cherry;2;LO;3;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L3;C3;Cherry;58;LO;11;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L1;C4;Cranberry;68;LO;37;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L2;C4;Cranberry;41;LO;24;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L3;C4;Cranberry;13;LO;13;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L4;C4;Cranberry;47;LO;7;AA,
1A;II;CR3;Cranberry;G8;12/9/2017;26/9/2017;L5;C4;Cranberry;26;LO;24;AA,
1A;II;CR1;Cranberry;G8;12/9/2017;26/9/2017;L1;C5;Cranberry;88;LO;16;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L1;C7;Cherry;37;LO;16;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L2;C7;Cherry;32;LO;6;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L3;C7;Cherry;76;LO;8;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L4;C7;Cranberry;62;LO;14;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L5;C7;Strawberry;41;LO;23;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L6;C7;Strawberry;44;LO;9;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L7;C7;Strawberry;54;LO;11;AA,
1A;II;CE3;Cherry;G8;12/9/2017;26/9/2017;L8;C7;Strawberry;42;LO;10;AA,
1A;II;CR2;Cranberry;G8;12/9/2017;26/9/2017;L1;C9;Strawberry;85;LO;6;AA,
1A;II;CR2;Cranberry;G8;12/9/2017;26/9/2017;L2;C9;Strawberry;102;LO;24;AA,
1A;II;CR2;Cranberry;G8;12/9/2017;26/9/2017;L3;C9;Cherry;67 ;LO;32;AA,
1A;II;CR2;Cranberry;G8;12/9/2017;26/9/2017;L4;C9;Cherry;62 ;LO;16;AA,
1A;II;FR2;Strawberry;G8;12/9/2017;26/9/2017;L1;C10;Strawberry;77 ;LO;25;AA,
1A;II;FR2;Strawberry;G8;12/9/2017;26/9/2017;L2;C10;Cherry;41 ;LO;24;AA,
1A;II;FR2;Strawberry;G8;12/9/2017;26/9/2017;L3;C10;Cranberry;44 ;LO;22;AA,
1A;II;FR1;Strawberry;G8;12/9/2017;26/9/2017;L4;C7;Cranberry;24 ;LO;27;AA,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L1;C2;Strawberry;122;AA;37;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L2;C2;Strawberry;159;AA;41;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L3;C2;Strawberry;74;AA;21;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L4;C2;Strawberry;145;AA;33;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L5;C2;Strawberry;123;AA;61;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L6;C2;Strawberry;82;AA;14;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L7;C2;Strawberry;140;AA;39;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L8;C2;Strawberry;91;AA;11;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L9;C2;Strawberry;147;AA;50;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L10;C2;Strawberry;178;AA;45;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L1;C3;Strawberry;55;AA;22;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L1;C4;Cherry;70;AA;38;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L2;C4;Cherry;55;AA;36;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L3;C4;Cherry;25;AA;17;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L4;C4;Cherry;31;AA;14;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L5;C4;Cherry;44;AA;29;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L6;C4;Cherry;45;AA;15;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L7;C4;Cherry;78;AA;42;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L8;C4;Cherry;12;AA;8;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L9;C4;Cherry;79;AA;35;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L10;C4;Cherry;26;AA;11;LO,
1B;III;FR1;Strawberry;G8;13/9/2018;27/9/17;L1;C5;Cherry;47;AA;37;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L1;C6;Cranberry;18;AA;15;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L2;C6;Cranberry;17;AA;17;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L3;C6;Cranberry;103;AA;50;LO,
1B;III;FR1;Strawberry;G8;13/9/2017;27/9/17;L4;C6;Cranberry;52;AA;35;LO,
