Block;Rack;Line;Fruit_s;Generation;Date_O;Date_A;Line;Colonne;Treatment;Nb_eggs;Obs_O;Nb_adults;Obs_A,
2B;NA;FR4;Strawberry;G7;25/8/2017;09/08/2017;L6;C5;Cherry;119;AA;58;LO,
2B;NA;FR4;Strawberry;G7;25/8/2017;09/08/2017;L7;C5;Cranberry;122;AA;60;LO,
2B;NA;FR4;Strawberry;G7;25/8/2017;09/08/2017;L8;C5;Strawberry;205;AA;43;LO,
2B;NA;CR5;Cranberry;G7;25/8/2017;09/08/2017;L1;C6;Cherry;160;AA;67;LO,
2B;NA;CR5;Cranberry;G7;25/8/2017;09/08/2017;L2;C6;Strawberry;143;AA;40;LO,
2B;NA;CR5;Cranberry;G7;25/8/2017;09/08/2017;L3;C6;Cranberry;276;AA;23;LO,
2B;NA;CR5;Cranberry;G7;25/8/2017;09/08/2017;L4;C6;Cherry;150;AA;81;LO,
2B;NA;CR5;Cranberry;G7;25/8/2017;09/08/2017;L5;C6;Cranberry;260;AA;22;LO,
2B;NA;EG3;Rosehips;G7;25/8/2017;09/08/2017;L1;C7;Rosehips;88;AA;10;LO,
2B;NA;FI3;Fig;G7;25/8/2017;09/08/2017;L1;C8;Fig;209;AA;52;LO,
2B;NA;FR5;Strawberry;G7;25/8/2017;09/08/2017;L1;C9;Strawberry;158;AA;43;LO,
2C;NA;EG3;Rosehips;G7;26/8/2017;9/9/2017;L1;C1;Rosehips;204;AA;11;LO,
2C;NA;EG3;Rosehips;G7;26/8/2017;9/9/2017;L1;C1;Rosehips;296;AA;103;LO,
2C;NA;FR5;Strawberry;G7;26/8/2017;9/9/2017;L1;C10;Cranberry;314;AA;39;LO,
2C;NA;CR4;Cranberry;G7;26/8/2017;9/9/2017;L1;C2;Cherry;215;AA;31;LO,
2C;NA;CR4;Cranberry;G7;26/8/2017;9/9/2017;L2;C2;Strawberry;124;AA;30;LO,
2C;NA;CR4;Cranberry;G7;26/8/2017;9/9/2017;L3;C2;Cranberry;172;AA;54;LO,
2C;NA;CR4;Cranberry;G7;26/8/2017;9/9/2017;L4;C2;Strawberry;187;AA;56;LO,
2C;NA;FI3;Fig;G7;26/8/2017;9/9/2017;L1;C3;Fig;296;AA;9;LO,
2C;NA;FR3;Strawberry;G7;26/8/2017;9/9/2017;L1;C4;Strawberry;65;AA;24;LO,
2C;NA;FR3;Strawberry;G7;26/8/2017;9/9/2017;L2;C4;Cherry;224;AA;59;LO,
2C;NA;FR3;Strawberry;G7;26/8/2017;9/9/2017;L3;C4;Cranberry;163;AA;40;LO,
2C;NA;FR3;Strawberry;G7;26/8/2017;9/9/2017;L4;C4;Strawberry;112;AA;29;LO,
2C;NA;CE4;Cherry;G7;26/8/2017;9/9/2017;L1;C5;Cranberry;262;AA;45;LO,
2C;NA;CE4;Cherry;G7;26/8/2017;9/9/2017;L2;C5;Strawberry;294;AA;27;LO,
2C;NA;CE4;Cherry;G7;26/8/2017;9/9/2017;L3;C5;Cherry;157;AA;30;LO,
2C;NA;CE4;Cherry;G7;26/8/2017;9/9/2017;L4;C5;Cranberry;190;AA;40;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L1;C6;Cherry;113;AA;36;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L2;C6;Strawberry;28;AA;0;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L3;C6;Cranberry;180;AA;33;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L4;C6;Cherry;115;AA;28;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L5;C6;Strawberry;204;AA;44;LO,
2C;NA;FR4;Strawberry;G7;26/8/2017;9/9/2017;L6;C6;Cherry;219;AA;72;LO,
